WATSON WYATT WORLDWIDE INC (Watson Wyatt & Co Hldgs prior to 01/2006) (De-listed 01/2010) (Quoted),Jan - 2010,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WATSON WYATT WORLDWIDE INC (Watson Wyatt & Co Hldgs prior to 01/2006) (De-listed 01/2010) (Quoted),Jan - 2010,3.8,2.7,7.4,64.5,2.3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WATSON WYATT WORLDWIDE INC (Watson Wyatt & Co Hldgs prior to 01/2006) (De-listed 01/2010) (Quoted),Jun - 2009,3.8,2.7,6.4,63.5,2.3,2.3,2.3,2.7,4.6,0.7,0.7
WATSON WYATT WORLDWIDE INC (Watson Wyatt & Co Hldgs prior to 01/2006) (De-listed 01/2010) (Quoted),Jun - 2008,3.5,2.5,5.4,62.5,2.3,2.3,2.3,2.7,4.6,0.7,0.7
WELLPOINT INC (Anthem prior to 11/2004) (Quoted),Current,5.4,2.3,7.7,64.8,2.8,1.4,1.4,3.3,6.6,1.3,1.3
WELLPOINT INC (Anthem prior to 11/2004) (Quoted),Current,4.8,2.3,6.6,64.6,2.8,1.4,1.4,3.3,6.6,1.3,1.3
WELLPOINT INC (Anthem prior to 11/2004) (Quoted),Dec - 2009,4.8,2.4,5.6,63.6,2.8,1.5,1.5,3.1,6.4,1.3,1.3
WELLPOINT INC (Anthem prior to 11/2004) (Quoted),Dec - 2008,4.8,2.4,5.6,63.6,2.8,1.5,1.5,3.1,6.4,1.3,1.3
WELLS FARGO & CO (Quoted),Current,5.2,2.6,8.6,62.9,2.1,5.4,9.4,1.6,4.4,0.7,0.7
WELLS FARGO & CO (Quoted),Current,5.1,2.4,7.4,62.2,2.1,5.4,9.4,1.6,4.4,0.7,0.7
WELLS FARGO & CO (Quoted),Dec - 2009,5,2.5,8.7,62.7,2.3,5.4,9.1,1.7,4.7,0.7,0.7
WELLS FARGO & CO (Quoted),Dec - 2008,4.9,2.6,7.7,61.7,2.3,4.1,8.4,1.7,5.4,1,1
WENDY'S ARBYS GROUP INC (Triarc Companies Inc prior to 09/2008) (Quoted),Current,6,2.1,10.6,67.2,2,6.7,6.8,5.3,10,1.1,1.1
WENDY'S ARBYS GROUP INC (Triarc Companies Inc prior to 09/2008) (Quoted),Current,6,2.4,11.2,70.2,2,6.7,6.8,5.3,10,1.1,1.1
WENDY'S ARBYS GROUP INC (Triarc Companies Inc prior to 09/2008) (Quoted),Jan - 2010,5.9,2.4,10.1,68.5,2,6,6.1,5.3,11.1,1.1,1.1
WENDY'S ARBYS GROUP INC (Triarc Companies Inc prior to 09/2008) (Quoted),Dec - 2008,5.3,2.1,10.7,69.5,1.8,6,6.1,5.3,11.3,1.1,1.1
West Corp (Private),Current,3.3,n.a.,4.4,41.5,2,0.3,0.3,2.6,5,0,0
West Corp (Private),Current,3.3,n.a.,3.4,40.5,2,0.3,0.3,2.6,5,0,0
West Corp (Private),Dec - 2009,3.3,1,2.4,39.5,2,0.3,0.3,2.6,5,0,0
West Corp (Private),Dec - 2008,3.3,2,1.4,38.5,2,0.3,0.3,2.6,5,0,0
WESTAR ENERGY INC (Western Resources Inc prior to 06/2002) (Quoted),Current,2.1,1.8,7,59.2,2.3,2.7,2.7,1.1,6.6,0.8,0.8
WESTAR ENERGY INC (Western Resources Inc prior to 06/2002) (Quoted),Current,1.9,1.6,7.1,57.8,2.3,2.7,2.7,1.1,6.6,0.8,0.8
WESTAR ENERGY INC (Western Resources Inc prior to 06/2002) (Quoted),Dec - 2009,1.9,1.6,6.1,56.8,2.3,1.7,1.7,1,6.8,0.8,0.8
WESTAR ENERGY INC (Western Resources Inc prior to 06/2002) (Quoted),Dec - 2008,1.9,1.6,5.1,55.8,2.3,1.7,1.7,1,6.8,0.8,0.8
WILEY JOHN & SONS INC (Quoted),Current,2.5,2.1,9.9,60.5,2.5,9.5,9.5,1.7,7.7,0.9,0.9
WILEY JOHN & SONS INC (Quoted),Current,2.3,2,8.8,59.6,2.3,9.5,9.5,1.7,7.7,0.9,0.9
WILEY JOHN & SONS INC (Quoted),Apr - 2010,2.1,1.8,8.8,59.3,2.4,9.1,9.1,1.6,7.7,0.9,0.9
WILEY JOHN & SONS INC (Quoted),Apr - 2009,2.1,1.9,7.8,58.3,2.4,9.1,9.1,1.6,7.9,1,1
XILINX INC (Quoted),Current,3.5,1.8,10.8,63.3,2.6,7.6,7.6,1.7,9,0.9,0.9
XILINX INC (Quoted),Current,3.6,1.7,11.6,64.3,2.7,7.6,7.6,1.7,9,0.9,0.9
XILINX INC (Quoted),Apr - 2010,3.5,1.9,10.9,63.4,2.5,6.9,6.9,1.8,9.1,0.9,0.9
XILINX INC (Quoted),Mar - 2009,3.4,1.8,9.9,62.4,2.5,6.5,6.5,1.7,8.6,1,1
XO Holdings Inc (XO Communications Inc prior to 02/2006) (Private),Current,5.1,2.5,3.2,58.4,1.9,2,2,4,15.7,0.6,0.6
XO Holdings Inc (XO Communications Inc prior to 02/2006) (Private),Current,5.3,2.7,3.4,51.9,1.6,2,2,4,15.7,0.6,0.6
XO Holdings Inc (XO Communications Inc prior to 02/2006) (Private),Dec - 2009,5.8,3.2,2.7,54.4,1.7,1.1,1.1,4.2,16.4,0.5,0.5
XO Holdings Inc (XO Communications Inc prior to 02/2006) (Private),Dec - 2008,5,3.2,1.7,53.4,1.7,0.3,0.3,3.9,14.8,0.5,0.5
